 written on 19Jul2020 at 14:14:25 
   134.22225299999999       -1.0362302350000000E-014   0.0000000000000000     
   67.111126499999997        116.23988079999999        0.0000000000000000     
   0.0000000000000000        0.0000000000000000        137.57225299999999     
           4
         581
    1    1    1    1    1    1    1    2    1    1    1    1    1    1    1
    1    2    1    1    1    1    1    1    1    1    1    1    1    2    2
    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1
    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1
    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1
    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1
    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1
    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1
    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1
    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1
    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1
    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1
    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1
    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1
    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1
    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1
    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1
    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1
    1    1    1    1    1    1    1    1    2    1    1    1    1    1    1
    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1
    1    1    2    1    1    1    1    1    1    1    1    1    1    1    1
    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1
    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1
    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1
    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1
    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1
    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1
    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1
    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1
    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1
    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1
    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1
    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1
    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1
    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1
    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1
    1    1    1    1    1    1    1    1    1    1    1    2    2    1    1
    1    1    1    1    1    1    1    1    1    2    1    1    1    1    1
    1    1    1    2    1    1    1    1    1    1    1

  -15    7    0
    1    4   -0.36736352E-09 -0.97356765E-11
    2    4   -0.14782526E-07 -0.24564596E-08
    3    4   -0.30347871E-09  0.30615000E-07
    4    4   -0.22613857E-07 -0.18256783E-08

  -14    8    0
    1    1   -0.21189261E-07  0.47264355E-08
    2    1    0.45319752E-08  0.31049371E-07
    3    1   -0.13431052E-07 -0.21191254E-08
    4    1    0.76493116E-09  0.29223235E-08
    1    2   -0.42773548E-08 -0.31526417E-07
    2    2   -0.19405462E-07  0.67190887E-08
    3    2   -0.90267317E-10 -0.32230180E-08
    4    2   -0.13136645E-07 -0.13424710E-08
    1    3   -0.14463659E-07 -0.22883950E-08
    2    3    0.57116054E-08  0.51061992E-08
    3    3   -0.21110728E-07 -0.66617612E-08
    4    3    0.37369781E-08 -0.31550368E-07
    1    4   -0.20449461E-08 -0.47035152E-08
    2    4   -0.13914329E-07 -0.40034065E-08
    3    4   -0.30942431E-08  0.31028625E-07
    4    4   -0.22097065E-07 -0.47841705E-08

  -14    9    0
    1    1   -0.16195457E-07  0.10506882E-07
    2    1    0.13016969E-07  0.28559663E-07
    3    1   -0.12308646E-07 -0.26610661E-08
    4    1    0.21465512E-08  0.67668637E-09
    1    2   -0.12693082E-07 -0.28757817E-07
    2    2   -0.16254488E-07  0.12749924E-07
    3    2   -0.99472469E-09 -0.58190398E-09
    4    2   -0.12469983E-07 -0.15133347E-08
    1    3   -0.10274593E-07 -0.14055194E-08
    2    3    0.71263831E-08  0.55300432E-08
    3    3   -0.17496947E-07 -0.12834894E-07
    4    3    0.12035952E-07 -0.29033929E-07
    1    4   -0.37777490E-08 -0.54875752E-08
    2    4   -0.10428891E-07 -0.32681341E-08
    3    4   -0.11199179E-07  0.28281382E-07
    4    4   -0.18979418E-07 -0.10422183E-07

  -13    2    0
    1    1    0.10221124E-07  0.25928844E-07
    2    1    0.31770759E-07 -0.18364512E-07
    3    1    0.84503802E-08  0.35538267E-08
    4    1    0.78228445E-08  0.10641263E-07
    1    2   -0.31587043E-07  0.17210641E-07
    2    2    0.10272128E-07  0.25487118E-07
    3    2   -0.91979057E-08 -0.99269168E-08
    4    2    0.51369652E-08  0.28748918E-08
    1    3    0.17384893E-08 -0.11316484E-08
    2    3    0.88365830E-08 -0.11385245E-07
    3    3    0.10219347E-07 -0.25929350E-07
    4    3    0.31587241E-07  0.17210314E-07
    1    4   -0.74913944E-08  0.12527950E-07
    2    4    0.29781080E-08 -0.14843247E-08
    3    4   -0.31771102E-07 -0.18364219E-07
    4    4    0.10271119E-07 -0.25486527E-07

  -13    3    0
    1    1   -0.59972326E-08  0.27250790E-07
    2    1    0.34354534E-07  0.58479278E-08
    3    1   -0.15029899E-08  0.13717162E-12
    4    1    0.84796981E-08  0.12593573E-09
    1    2   -0.33527968E-07 -0.69147024E-08
    2    2   -0.38172939E-08  0.27568835E-07
    3    2   -0.84800962E-08  0.12569412E-09
    4    2   -0.27667559E-08  0.14698984E-12
    1    3   -0.83130134E-08  0.28707195E-08
    2    3    0.10993966E-07 -0.19132813E-07
    3    3    0.20164083E-08 -0.27730406E-07
    4    3    0.34312052E-07 -0.68573673E-08
    1    4   -0.73548174E-08  0.20965017E-07
    2    4   -0.47339654E-08  0.12729847E-08
    3    4   -0.33341814E-07  0.58887397E-08
    4    4    0.12553148E-08 -0.27089446E-07

  -13    4    0
    1    1   -0.19624830E-07  0.23355202E-07
    2    1    0.27824471E-07  0.27297117E-07
    3    1   -0.93912587E-08  0.98355586E-09
    4    1    0.77330299E-08 -0.91983357E-08
    1    2   -0.29252537E-07 -0.29857452E-07
    2    2   -0.16337944E-07  0.24010083E-07
    3    2   -0.67836730E-08  0.86178273E-08
    4    2   -0.85025106E-08  0.14457229E-08
    1    3   -0.17906079E-07  0.67455349E-08
    2    3    0.10798883E-07 -0.17656561E-07
    3    3   -0.82092559E-08 -0.23834965E-07
    4    3    0.31673481E-07 -0.29642203E-07
    1    4   -0.58714865E-08  0.19719352E-07
    2    4   -0.13230549E-07  0.40329117E-08
    3    4   -0.29465148E-07  0.27505678E-07
    4    4   -0.94323781E-08 -0.23529847E-07

  -13    5    0
    1    1   -0.28402654E-07  0.16144634E-07
    2    1    0.19263172E-07  0.43317312E-07
    3    1   -0.14622194E-07  0.34448173E-08
    4    1    0.54201679E-08 -0.10753844E-07
    1    2   -0.20398254E-07 -0.45893354E-07
    2    2   -0.24825012E-07  0.18627723E-07
    3    2   -0.39516096E-08  0.97823278E-08
    4    2   -0.13170212E-07  0.47297550E-08
    1    3   -0.23875161E-07  0.66564632E-08
    2    3    0.10102588E-07 -0.90907381E-08
    3    3   -0.18366967E-07 -0.18283831E-07
    4    3    0.24253409E-07 -0.46221356E-07
    1    4   -0.37650405E-08  0.11125924E-07
    2    4   -0.18767505E-07  0.32021133E-08
    3    4   -0.22072239E-07  0.42968537E-07
    4    4   -0.20629218E-07 -0.16488228E-07

  -13    6    0
    1    1   -0.32028957E-07  0.11307806E-07
    2    1    0.13161557E-07  0.51861677E-07
    3    1   -0.17911410E-07  0.32710130E-08
    4    1    0.36086955E-08 -0.76275158E-08
    1    2   -0.15373957E-07 -0.54516018E-07
    2    2   -0.27677549E-07  0.14113534E-07
    3    2   -0.17053000E-08  0.64664875E-08
    4    2   -0.16538954E-07  0.46743757E-08
    1    3   -0.25969393E-07  0.17147289E-08
    2    3    0.96979775E-08  0.99081164E-09
    3    3   -0.25832475E-07 -0.13850216E-07
    4    3    0.16996636E-07 -0.54973790E-07
    1    4   -0.27539688E-08  0.98923087E-09
    2    4   -0.21960170E-07 -0.17145885E-08
    3    4   -0.14624685E-07  0.51393041E-07
    4    4   -0.28545885E-07 -0.11570603E-07

  -13    7    0
    1    1   -0.28894324E-07  0.10590416E-07
    2    1    0.15229916E-07  0.53090911E-07
    3    1   -0.17684834E-07 -0.76139222E-09
    4    1    0.26721624E-08 -0.43904277E-09
