 written on 19Jul2020 at 16:10:25 
   134.22225299999999       -1.0362302350000000E-014   0.0000000000000000     
   67.111126499999997        116.23988079999999        0.0000000000000000     
   0.0000000000000000        0.0000000000000000        137.57225299999999     
          12
         147
    1    1    2    1    1    1    1    1    2    1    1    1    1    1    1
    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1
    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1
    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1
    1    1    1    1    1    1    1    2    1    1    1    1    1    1    1
    1    1    1    1    2    1    1    1    1    1    1    1    1    1    1
    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1
    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1
    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1
    1    1    1    2    1    1    1    1    1    2    1    1

   -7    3    0
    8   10    0.29679688E-05  0.20346175E-07
    9   10   -0.38247951E-05  0.18853663E-06
   10   10    0.25025016E-05 -0.11689750E-07
   11   10   -0.60482133E-05 -0.38300075E-06
   12   10    0.33302736E-05  0.27781779E-06
    1   11   -0.18109642E-05 -0.14051058E-06
    2   11    0.36886508E-05  0.20501471E-06
    3   11    0.22622444E-05 -0.18566477E-07
    4   11   -0.19196032E-05 -0.26447710E-07
    5   11    0.47767915E-05  0.21254471E-06
    6   11    0.44575469E-05 -0.18564259E-06
    7   11   -0.48246886E-05  0.13209693E-06
    8   11    0.37140198E-05 -0.72569350E-07
    9   11   -0.61783403E-05  0.11206468E-07
   10   11   -0.25037788E-05  0.29646170E-07
   11   11   -0.16694671E-05 -0.11185034E-06
   12   11   -0.32392913E-05 -0.15492478E-06
    1   12   -0.38017109E-05 -0.27498128E-06
    2   12   -0.22078155E-05 -0.83346528E-07
    3   12   -0.19376367E-05 -0.21295000E-07
    4   12   -0.19767558E-05 -0.20331439E-06
    5   12   -0.46920208E-05  0.24034869E-06
    6   12    0.50503340E-05  0.19661869E-06
    7   12    0.40171101E-05 -0.37557128E-08
    8   12    0.46905071E-05 -0.12333588E-06
    9   12    0.26380224E-05 -0.71484358E-07
   10   12   -0.57820290E-05 -0.18957814E-07
   11   12    0.33798802E-05  0.22181388E-06
   12   12   -0.15954406E-05 -0.21156093E-07

   -7    4    0
    1    1   -0.28732925E-05  0.54995349E-07
    2    1    0.41555112E-05 -0.11327212E-06
    3    1   -0.29505606E-05 -0.40965133E-07
    4    1    0.29380335E-05 -0.20161266E-06
    5    1   -0.20781033E-06 -0.54402644E-07
    6    1    0.74546691E-05  0.79262974E-07
    7    1   -0.10918025E-05 -0.28137416E-06
    8    1    0.67599582E-05 -0.76983979E-07
    9    1    0.56902928E-05  0.11251673E-06
   10    1   -0.39413936E-05 -0.21865162E-06
   11    1    0.57234772E-05 -0.22820109E-07
   12    1   -0.59741150E-06  0.12417050E-06
    1    2   -0.41982941E-05  0.69739148E-07
    2    2   -0.28019978E-05  0.32497649E-07
    3    2    0.28188410E-05 -0.39344853E-07
    4    2    0.28343856E-05  0.22431123E-06
    5    2   -0.77660149E-05 -0.10593255E-06
    6    2   -0.11974698E-06 -0.49604348E-07
    7    2    0.64793246E-05  0.19643265E-07
    8    2    0.11712231E-05  0.30649152E-06
    9    2    0.33868870E-05  0.44577441E-06
